"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid","gCSI.tissueid"
"1094","NCI-H1944","","NCI-H1944","","","","NCI-H1944","NCIH1944","NCI-H1944","NCI-H1944","NCI-H1944","","NCIH1944","NCI-H1944","","lung","","","","Lung","LUNG","Lung","lung","","","lung","lung","lung","Lung"
"1095","NCI-H196","","NCI-H196","","","","NCI-H196","","NCI-H196","NCI-H196","NCI-H196","","NCIH196",NA,"","lung","","","","Lung","","Lung","lung","","","lung","lung","lung",NA
"1096","NCI-H2023","","NCI-H2023","","","","NCI-H2023","NCIH2023","NCI-H2023","NCI-H2023","NCI-H2023","","NCIH2023","NCI-H2023","","lung","","","","Lung","LUNG","Lung","lung","","","lung","lung","lung","Lung"
"1097","NCI-H2066","","NCI-H2066","","","","","","NCI-H2066","NCI-H2066","NCI-H2066","",NA,NA,"","lung","","","","","","Lung","lung","","","","lung",NA,NA
"1098","NCI-H2073","","NCI-H2073","","","","NCI-H2073","NCIH2073","","NCI-H2073","","",NA,NA,"","lung","","","","Lung","LUNG","","lung","","","lung","lung",NA,NA
"1099","NCI-H2085","","NCI-H2085","","","","","","NCI-H2085","NCI-H2085","NCI-H2085","","NCIH2085",NA,"","lung","","","","","","Lung","lung","","","lung","lung","lung",NA
"1100","NCI-H2106","","NCI-H2106","","","","NCI-H2106","","","NCI-H2106","","","NCIH2106",NA,"","lung","","","","Lung","","","lung","","","lung","lung","lung",NA
"1101","NCI-H211","","NCI-H211","","","","","","NCI-H211","NCI-H211","","","NCIH211",NA,"","lung","","","","","","Lung","lung","","","lung","lung","lung",NA
"1102","NCI-H2110","","NCI-H2110","","","","NCI-H2110","NCIH2110","NCI-H2110","NCI-H2110","NCI-H2110","","NCIH2110",NA,"","lung","","","","Lung","LUNG","Lung:NSCLC","lung","","","","lung","lung",NA
"1103","NCI-H2172","","NCI-H2172","","","","NCI-H2172","NCIH2172","NCI-H2172","NCI-H2172","NCI-H2172","","NCIH2172",NA,"","lung","","","","Lung","LUNG","Lung:NSCLC","lung","","","","lung","lung",NA
"1104","NCI-H2286","","NCI-H2286","","","","","NCIH2286","NCI-H2286","NCI-H2286","","","NCIH2286",NA,"","lung","","","","","LUNG","Lung","lung","","","lung","lung","lung",NA
"1105","NCI-H2444","","NCI-H2444","","","","","","NCI-H2444","NCI-H2444","NCI-H2444","","NCIH2444",NA,"","lung","","","","","","Lung:NSCLC","lung","","","lung","lung","lung",NA
"1106","NCI-H322","","NCI-H322","NCIH322","LC:NCI_H322M","","","","","NCI-H322","","","NCIH322",NA,"","lung","lung","LC","","","","","lung","","","lung","lung","lung",NA
"1107","NCI-H3255","","NCI-H3255","","","","","NCIH3255","","NCI-H3255","","",NA,NA,"","lung","","","","","LUNG","","lung","","","lung","lung",NA,NA
"1108","NCI-H647","","NCI-H647","","","","","","NCI-H647","NCI-H647","NCI-H647","","NCIH647","NCI-H647","","lung","","","","","","Lung","lung","","","lung","lung","lung","Lung"
"1109","NCI-H660","","NCI-H660","NCIH660","","","","","NCI-H660","NCI-H660","","","NCIH660",NA,"","prostate","prostate","","","","","Prostate","prostate","","","prostate","prostate","prostate",NA
"1110","NCI-H684","","NCI-H684","","","","","","","NCI-H684","","",NA,NA,"","liver","","","","","","","liver","","","","liver",NA,NA
"1111","NCI-H841","","NCI-H841","","","","","NCIH841","NCI-H841","NCI-H841","NCI-H841","","NCIH841",NA,"","lung","","","","","LUNG","Lung","lung","","","lung","lung","lung",NA
"1112","NCI-H854","","NCI-H854","","","","","","","NCI-H854","","",NA,NA,"","lung","","","","","","","lung","","","lung","lung",NA,NA
"1113","NCI-H929","","NCI-H929","","","","NCI-H929","","NCI-H929","NCI-H929","NCI-H929","","NCIH929",NA,"","haematopoietic_and_lymphoid_tissue","","","","Bone Marrow","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1114","NCO2","","NCO2","","","","","","","NCO2","","","NCO2",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1115","NU-DHL-1","","NU-DHL-1","","","","","","","NU-DHL-1","","","NUDHL1",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1116","NU-DUL-1","","NU-DUL-1","","","","NU-DUL-1","NUDUL1","NU-DUL-1","NU-DUL-1","NU-DUL-1","","NUDUL1",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1117","NUGC-2","","NUGC-2","","","","NUGC-2","","","NUGC-2","","",NA,NA,"","stomach","","","","Stomach","","","stomach","","","","stomach",NA,NA
"1118","NUGC-4","","NUGC-4","","","","NUGC-4","NUGC4","NUGC-4","NUGC-4","NUGC-4","","NUGC4","NUGC-4","","stomach","","","","Stomach","STOMACH","Stomach","stomach","","","stomach","stomach","stomach","Stomach"
"1119","OC 315","","OC 315","","","","","","","","","",NA,NA,"","ovary","","","","","","","","","","","ovary",NA,NA
"1120","OC 316","","OC 316","","","","","","","","","",NA,NA,"","ovary","","","","","","","","","","","ovary",NA,NA
"1121","OCI-AML3","","OCI-AML3","","","","OCI-AML3","OCIAML3","OCI-AML3","OCI-AML3","OCI-AML3","","OCIAML3",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1122","OCI-AML5","","OCI-AML5","","","","OCI-AML5","","OCI-AML5","OCI-AML5","OCI-AML5","","OCIAML5","OCI-AML5","","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"1123","OCI-LY-19","","OCI-LY-19","","","","OCI-LY-19","","OCI-LY-19","OCI-LY-19","OCI-LY-19","","OCILY19",NA,"","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1124","OCI-LY10","","OCI-LY10","","","","OCI-LY-10","OCILY10","","","","","OCILY10","OCI-LY-10","","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid"
"1125","OCI-LY3","","OCI-LY3","","","","OCI-LY-3","","","OCI-LY3","","","OCILY3",NA,"","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1126","OCI-M1","","OCI-M1","","","","OCI-M1","","OCI-M1","OCI-M1","OCI-M1","","OCIM1",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1127","OCUM-1","","OCUM-1","","","","OCUM-1","","OCUM-1","OCUM-1","OCUM-1","","OCUM1","OCUM-1","","stomach","","","","Stomach","","Stomach","stomach","","","stomach","stomach","stomach","Stomach"
"1128","OE21","","OE21","OE21","","","","","OE21","OE21","OE21","","OE21","OE21","","oesophagus","esophagus","","","","","Esophagus","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","oesophagus","Esophagus"
"1129","OELE","","OELE","","","","","","","","","",NA,NA,"","ovary","","","","","","","","","","","ovary",NA,NA
"1130","ONCO-DG-1","","ONCO-DG-1","","","","","","","ONCO-DG-1","","","ONCODG1","ONCO-DG-1","","ovary","","","","","","","ovary","","","","ovary","ovary","Ovary"
"1131","OUMS-23","","OUMS-23","","","","OUMS-23","","","OUMS-23","OUMS-23","","OUMS23",NA,"","large_intestine","","","","Colon","","","large_intestine","","","large_intestine","large_intestine","large_intestine",NA
"1132","OUMS-27","","OUMS-27","","","","","","","","","",NA,NA,"","bone","","","","","","","","","","","bone",NA,NA
"1133","OV-90","","OV-90","OV90","","","OV-90","OV90","OV-90","OV-90","OV-90","","OV90","OV-90","","ovary","ovary","","","Ovary","OVARY","Ovary","ovary","","","ovary","ovary","ovary","Ovary"
"1134","OV56","","OV56","","","","OV56","","OV-56","OV56","OV-56","","OV56",NA,"","ovary","","","","Ovary","","ovary","ovary","","","","ovary","ovary",NA
"1135","OV7","","OV7","","","","OV7","OV7","OV-7","OV7","OV-7","","OV7",NA,"","ovary","","","","Ovary","OVARY","Ovary","ovary","","","","ovary","ovary",NA
"1136","OVISE","","OVISE","","","","OVISE","","OVISE","OVISE","OVISE","","OVISE",NA,"","ovary","","","","Ovary","","Ovary","ovary","","","ovary","ovary","ovary",NA
"1137","OVK18","","OVK18","","","","","OVK18","OVK-18","OVK18","OVK-18","","OVK18",NA,"","ovary","","","","","OVARY","Ovary","ovary","","","ovary","ovary","ovary",NA
"1138","OVKATE","","OVKATE","","","","OVKATE","OVKATE","OVKATE","","OVKATE","",NA,NA,"","ovary","","","","Ovary","OVARY","Ovary","","","","ovary","ovary",NA,NA
"1139","OVMANA","","OVMANA","","","","OVMANA","OVMANA","","OVMANA","","",NA,NA,"","ovary","","","","Ovary","OVARY","","ovary","","","ovary","ovary",NA,NA
"1140","OVSAHO","","OVSAHO","","","","OVSAHO","","","OVSAHO","","","OVSAHO","OVSAHO","","ovary","","","","Ovary","","","ovary","","","","ovary","ovary","Ovary"
"1141","OVTOKO","","OVTOKO","","","","OVTOKO","","OVTOKO","OVTOKO","OVTOKO","","OVTOKO","OVTOKO","","ovary","","","","Ovary","","ovary","ovary","","","ovary","ovary","ovary","Ovary"
"1142","P3HR-1","","P3HR-1","P3HR1","","","","P3HR1","","P3HR-1","","","P3HR1",NA,"","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1143","PA-TU-8902","","PA-TU-8902","","","","PA-TU-8902","PATU8902","PA-TU-8902","PA-TU-8902","PA-TU-8902","","PATU8902","PA-TU-8902","","pancreas","","","","Pancreas","PANCREAS","pancreas","pancreas","","","pancreas","pancreas","pancreas","Pancreas"
"1144","PA-TU-8988S","","PA-TU-8988S","","","","PA-TU-8988S","","","PA-TU-8988S","","","PATU8988S",NA,"","pancreas","","","","Pancreas","","","pancreas","","","pancreas","pancreas","pancreas",NA
"1145","PA-TU-8988T","","PA-TU-8988T","","","","PA-TU-8988T","","PA-TU-8988T","PA-TU-8988T","PA-TU-8988T","","PATU8988T",NA,"","pancreas","","","","Pancreas","","Pancreas","pancreas","","","pancreas","pancreas","pancreas",NA
"1146","Panc 02.03","","Panc 02.03","","","","Panc 02.03","","PANC-02-03","Panc_02.03","PANC-02-03","","PANC0203","Panc 02.03","","pancreas","","","","Pancreas","","Pancreas","pancreas","","","","pancreas","pancreas","Pancreas"
"1147","Panc 02.13","","Panc 02.13","","","","","","","Panc_02.13","","",NA,NA,"","pancreas","","","","","","","pancreas","","","","pancreas",NA,NA
"1148","Panc 04.03","","Panc 04.03","","","","Panc 04.03","","PANC-04-03","Panc_04.03","","","PANC0403","Panc 04.03","","pancreas","","","","Pancreas","","pancreas","pancreas","","","","pancreas","pancreas","Pancreas"
"1149","Panc 05.04","","Panc 05.04","","","","Panc 05.04","","","Panc_05.04","","","PANC0504",NA,"","pancreas","","","","Pancreas","","","pancreas","","","","pancreas","pancreas",NA
"1150","PANC-1","","PANC-1","","","","PANC-1","","","PANC-1","","","PANC1",NA,"","pancreas","","","","Pancreas","","","pancreas","","","pancreas","pancreas","pancreas",NA
"1151","PCM6","","PCM6","","","","","","","","","",NA,NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA,NA
"1152","PE/CA-PJ15","","PE/CA-PJ15","","","","PE/CA-PJ15","","PE-CA-PJ15","PE_CA-PJ15","PE_CA-PJ15","","PECAPJ15",NA,"","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1153","PE/CA-PJ34 (clone C12)","","PE/CA-PJ34 (clone C12)","","","","","","","PE_CA-PJ34__clone_C12_","","","PECAPJ34CLONEC12",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1154","PE/CA-PJ41 (clone D2)","","PE/CA-PJ41 (clone D2)","","","","","","","PE_CA-PJ41__clone_D2_","","","PECAPJ41CLONED2",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1155","PE/CA-PJ49","","PE/CA-PJ49","","","","","","","PE_CA-PJ49","","","PECAPJ49",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1156","PEER","","PEER","","","","","","","PEER","","","PEER",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1157","Pfeiffer","","Pfeiffer","","","","Pfeiffer","","","Pfeiffer","","","PFEIFFER",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1158","PK-1","","PK-1","","","","","","","PK-1","","","PK1","PK-1","","pancreas","","","","","","","pancreas","","","pancreas","pancreas","pancreas","Pancreas"
"1159","PK-45H","","PK-45H","","","","PK-45H","","","PK-45H","","","PK45H","PK-45H","","pancreas","","","","Pancreas","","","pancreas","","","","pancreas","pancreas","Pancreas"
"1160","PK-59","","PK-59","","","","PK-59","","","PK-59","","","PK59","PK-59","","pancreas","","","","Pancreas","","","pancreas","","","pancreas","pancreas","pancreas","Pancreas"
"1161","PL-21","","PL-21","","","","PL-21","PL21","PL-21","PL-21","PL-21","","PL21",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1162","PL45","","PL45","","","","PL45","","PL4","","","",NA,NA,"","pancreas","","","","Pancreas","","pancreas","","","","pancreas","pancreas",NA,NA
"1163","PrEC LH","","PrEC LH","","","","","","","","","",NA,NA,"","prostate","","","","","","","","","","","prostate",NA,NA
"1164","QGP-1","","QGP-1","","","","QGP-1","QGP1","QGP-1","QGP-1","QGP-1","","QGP1","QGP-1","","pancreas","","","","Pancreas","PANCREAS","Pancreas","pancreas","","","pancreas","pancreas","pancreas","Pancreas"
"1165","RCC-4","","RCC-4","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","kidney","kidney",NA,NA
"1166","RCH-ACV","","RCH-ACV","RCHACV","","","","","RCH-ACV","RCH-ACV","RCH-ACV","","RCHACV",NA,"","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1167","RD-ES","","RD-ES","RDES","","","","","","RD-ES","","","RDES",NA,"","bone","bone","","","","","","bone","","","bone","bone","bone",NA
"1168","REC-1","","REC-1","REC1","","","REC-1","","","REC-1","","","REC1",NA,"","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1169","RERF-GC-1B","","RERF-GC-1B","","","","RERF-GC-1B","","RERF-GC-1B","RERF-GC-1B","RERF-GC-1B","",NA,"RERF-GC-1B","","stomach","","","","Stomach","","Stomach","stomach","","","stomach","stomach",NA,"Stomach"
"1170","RERF-LC-Ad1","","RERF-LC-Ad1","","","","","","","RERF-LC-Ad1","","","RERFLCAD1",NA,"","lung","","","","","","","lung","","","lung","lung","lung",NA
"1171","RERF-LC-Ad2","","RERF-LC-Ad2","","","","","","","RERF-LC-Ad2","","","RERFLCAD2",NA,"","lung","","","","","","","lung","","","lung","lung","lung",NA
"1172","RERF-LC-AI","","RERF-LC-AI","","","","","","","RERF-LC-AI","","","RERFLCAI",NA,"","lung","","","","","","","lung","","","lung","lung","lung",NA
"1173","RERF-LC-KJ","","RERF-LC-KJ","","","","RERF-LC-KJ","RERFLCKJ","RERF-LC-KJ","RERF-LC-KJ","RERF-LC-KJ","",NA,NA,"","lung","","","","Lung","LUNG","Lung:NSCLC","lung","","","lung","lung",NA,NA
"1174","RERF-LC-Sq1","","RERF-LC-Sq1","","","","","","RERF-LC-Sq1","RERF-LC-Sq1","RERF-LC-Sq1","",NA,NA,"","lung","","","","","","Lung:NSCLC","lung","","","lung","lung",NA,NA
"1175","RH-30","","RH-30","","","","","","","RH-30","","","RH30",NA,"","soft_tissue","","","","","","","soft_tissue","","","","soft_tissue","soft_tissue",NA
"1176","RH-41","","RH-41","","","","","","RH-41","RH-41","RH-41","","RH41",NA,"","soft_tissue","","","","","","Muscle","soft_tissue","","","soft_tissue","soft_tissue","soft_tissue",NA
"1177","RI-1","","RI-1","","","","RI-1","","","RI-1","","","RI1",NA,"","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1178","RKN","","RKN","","","","RKN","RKN","RKN","RKN","RKN","","RKN","RKN","","soft_tissue","","","","Ovary","SOFT_TISSUE","Ovary","soft_tissue","","","","soft_tissue","soft_tissue","Ovary"
"1179","RMUG-S","","RMUG-S","","","","RMUG-S","RMUGS","","RMUG-S","","",NA,NA,"","ovary","","","","Ovary","OVARY","","ovary","","","ovary","ovary",NA,NA
"1180","RS-5","","RS-5","","","","","","","RS-5","","",NA,NA,"","pleura","","","","","","","pleura","","","","pleura",NA,NA
"1181","RT112/84","","RT112/84","","","","","","","","","",NA,NA,"","urinary_tract","","","","","","","","","","","urinary_tract",NA,NA
"1182","SALE","","SALE","","","","","","","","","",NA,NA,"","lung","","","","","","","","","","","lung",NA,NA
"1183","SCaBER","","SCaBER","SCABER","","","","","SCaBER","SCaBER","SCaBER","","SCABER",NA,"","urinary_tract","bladder","","","","","Bladder","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"1184","SEM","","SEM","SEM","","","","","","SEM","","","SEM",NA,"","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1185","Set-2","","Set-2","","","","SET-2","","","Set-2","Set2","","SET2",NA,"","haematopoietic_and_lymphoid_tissue","","","","Blood","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1186","SF-172","","SF-172","","","","","","","","","",NA,NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA,NA
"1187","SF767","","SF767","","","","","","","","","",NA,NA,"","central_nervous_system","","","","","","","","","","central_nervous_system","central_nervous_system",NA,NA
"1188","SF8657","","SF8657","","","","","","","","","",NA,NA,"","","","","","","","","","","","","",NA,NA
"1189","SH-10-TC","","SH-10-TC","","","","","SH10TC","","SH-10-TC","","","SH10TC",NA,"","stomach","","","","","STOMACH","","stomach","","","stomach","stomach","stomach",NA
"1190","SH-SY5Y","","SH-SY5Y","","","","","","","","","",NA,NA,"","autonomic_ganglia","","","","","","","","","","autonomic_ganglia","autonomic_ganglia",NA,NA
"1191","SK-BR-3","","SK-BR-3","SKBR3","","SKBR3","SK-BR-3","","","SK-BR-3","","skbr3","SKBR3","SK-BR-3","","breast","breast","","breast","Breast","","","breast","","breast","breast","breast","breast","Breast"
"1192","SK-ES-1","","SK-ES-1","","","","","","SK-ES-1","SK-ES-1","SK-ES-1","","SKES1",NA,"","bone","","","","","","Bone","bone","","","bone","bone","bone",NA
"1193","SK-MEL-31","","SK-MEL-31","","","","SK-MEL-31","","SK-MEL-31","SK-MEL-31","SK-MEL-31","","SKMEL31",NA,"","skin","","","","Skin","","Skin","skin","","","skin","skin","skin",NA
"1194","SK-N-BE(2)","","SK-N-BE(2)","","","","","","","SK-N-BE_2_","","","SKNBE2","SK-N-BE(2)","","autonomic_ganglia","","","","","","","autonomic_ganglia","","","","autonomic_ganglia","autonomic_ganglia","Brain"
"1195","SK-N-MC","","SK-N-MC","","","","","","","SK-N-MC","","","SKNMC",NA,"","bone","","","","","","","bone","","","bone","bone","bone",NA
"1196","SK-N-SH","","SK-N-SH","","","","SK-N-SH","","SK-N-SH","","SK-N-SH","","SKNSH","SK-N-SH","","autonomic_ganglia","","","","Brain","","Brain","","","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia","Brain"
"1197","SK-RC 31","","SK-RC 31","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1198","SK-RC-20","","SK-RC-20","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1199","SLR 20","","SLR 20","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1200","SLR 21","","SLR 21","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1201","SLR 23","","SLR 23","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1202","SLR 24","","SLR 24","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1203","SLR 25","","SLR 25","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1204","SLR 26","","SLR 26","","","","","","","","","",NA,NA,"","kidney","","","","","","","","","","","kidney",NA,NA
"1205","SNU-1033","","SNU-1033","","","","","","","SNU-1033","","","SNU1033",NA,"","large_intestine","","","","","","","large_intestine","","","large_intestine","large_intestine","large_intestine",NA
"1206","SNU-1040","","SNU-1040","","","","","SNU1040","SNU-1040","SNU-1040","SNU-1040","",NA,NA,"","large_intestine","","","","","LARGE_INTESTINE","large_intestine","large_intestine","","","large_intestine","large_intestine",NA,NA
"1207","SNU-1041","","SNU-1041","","","","","","","SNU-1041","","","SNU1041",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1208","SNU-1066","","SNU-1066","","","","","","","SNU-1066","","","SNU1066",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1209","SNU-1076","","SNU-1076","","","","","","","SNU-1076","","","SNU1076",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1210","SNU-1077","","SNU-1077","","","","","","","SNU-1077","","","SNU1077",NA,"","endometrium","","","","","","","endometrium","","","","endometrium","endometrium",NA
"1211","SNU-1079","","SNU-1079","","","","","","","SNU-1079","","","SNU1079",NA,"","biliary_tract","","","","","","","biliary_tract","","","biliary_tract","biliary_tract","biliary_tract",NA
"1212","SNU-1105","","SNU-1105","","","","","","","SNU-1105","","","SNU1105",NA,"","central_nervous_system","","","","","","","central_nervous_system","","","","central_nervous_system","central_nervous_system",NA
"1213","SNU-119","","SNU-119","","","","","","","SNU-119","","","SNU119",NA,"","ovary","","","","","","","ovary","","","","ovary","ovary",NA
"1214","SNU-1196","","SNU-1196","","","","","","","SNU-1196","","","SNU1196",NA,"","biliary_tract","","","","","","","biliary_tract","","","biliary_tract","biliary_tract","biliary_tract",NA
"1215","SNU-1197","","SNU-1197","","","","","","","SNU-1197","","",NA,NA,"","large_intestine","","","","","","","large_intestine","","","large_intestine","large_intestine",NA,NA
"1216","SNU-1214","","SNU-1214","","","","","","","SNU-1214","","","SNU1214",NA,"","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1217","SNU-1272","","SNU-1272","","","","","","","SNU-1272","","","SNU1272",NA,"","kidney","","","","","","","kidney","","","","kidney","kidney",NA
"1218","SNU-175","","SNU-175","","","","","SNU175","SNU-175","SNU-175","","","SNU175",NA,"","large_intestine","","","","","LARGE_INTESTINE","large_intestine","large_intestine","","","large_intestine","large_intestine","large_intestine",NA
"1219","SNU-182","","SNU-182","SNU182","","","SNU-182","","SNU-182","SNU-182","SNU-182","","SNU182","SNU-182","","liver","liver","","","Liver","","Liver","liver","","","liver","liver","liver","Liver"
"1220","SNU-201","","SNU-201","","","","","","","SNU-201","","","SNU201",NA,"","central_nervous_system","","","","","","","central_nervous_system","","","","central_nervous_system","central_nervous_system",NA
"1221","SNU-213","","SNU-213","","","","","","","SNU-213","","","SNU213",NA,"","pancreas","","","","","","","pancreas","","","pancreas","pancreas","pancreas",NA
"1222","SNU-216","","SNU-216","","","","SNU-216","","","SNU-216","","","SNU216",NA,"","stomach","","","","Stomach","","","stomach","","","stomach","stomach","stomach",NA
"1223","SNU-245","","SNU-245","","","","","","","SNU-245","","","SNU245",NA,"","biliary_tract","","","","","","","biliary_tract","","","biliary_tract","biliary_tract","biliary_tract",NA
"1224","SNU-283","","SNU-283","","","","","","SNU-283","","SNU-283","",NA,NA,"","large_intestine","","","","","","large_intestine","","","","large_intestine","large_intestine",NA,NA
